Date,NASDAQ,Inflation_Rate
18/7/2014,4432.149902,237.498
19/7/2014,,237.498
20/7/2014,,237.498
21/7/2014,4424.700195,237.498
22/7/2014,4456.02002,237.498
23/7/2014,4473.700195,237.498
24/7/2014,4472.109863,237.498
25/7/2014,4449.560059,237.498
26/7/2014,,237.498
27/7/2014,,237.498
28/7/2014,4444.910156,237.498
29/7/2014,4442.700195,237.498
30/7/2014,4462.899902,237.498
31/7/2014,4369.77002,237.498
1/8/2014,4352.640137,237.46
2/8/2014,,237.46
3/8/2014,,237.46
4/8/2014,4383.890137,237.46
5/8/2014,4352.839844,237.46
6/8/2014,4355.049805,237.46
7/8/2014,4334.970215,237.46
8/8/2014,4370.899902,237.46
9/8/2014,,237.46
10/8/2014,,237.46
11/8/2014,4401.330078,237.46
12/8/2014,4389.25,237.46
13/8/2014,4434.129883,237.46
14/8/2014,4453.0,237.46
15/8/2014,4464.930176,237.46
16/8/2014,,237.46
17/8/2014,,237.46
18/8/2014,4508.310059,237.46
19/8/2014,4527.509766,237.46
20/8/2014,4526.47998,237.46
21/8/2014,4532.100098,237.46
22/8/2014,4538.549805,237.46
23/8/2014,,237.46
24/8/2014,,237.46
25/8/2014,4557.350098,237.46
26/8/2014,4570.640137,237.46
27/8/2014,4569.620117,237.46
28/8/2014,4557.700195,237.46
29/8/2014,4580.27002,237.46
30/8/2014,,237.46
31/8/2014,,237.46
1/9/2014,,237.477
2/9/2014,4598.189941,237.477
3/9/2014,4572.560059,237.477
4/9/2014,4562.290039,237.477
5/9/2014,4582.899902,237.477
6/9/2014,,237.477
7/9/2014,,237.477
8/9/2014,4592.290039,237.477
9/9/2014,4552.290039,237.477
10/9/2014,4586.52002,237.477
11/9/2014,4591.810059,237.477
12/9/2014,4567.600098,237.477
13/9/2014,,237.477
14/9/2014,,237.477
15/9/2014,4518.899902,237.477
16/9/2014,4552.759766,237.477
17/9/2014,4562.189941,237.477
18/9/2014,4593.430176,237.477
19/9/2014,4579.790039,237.477
20/9/2014,,237.477
21/9/2014,,237.477
22/9/2014,4527.689941,237.477
23/9/2014,4508.689941,237.477
24/9/2014,4555.220215,237.477
25/9/2014,4466.75,237.477
26/9/2014,4512.189941,237.477
27/9/2014,,237.477
28/9/2014,,237.477
29/9/2014,4505.850098,237.477
30/9/2014,4493.390137,237.477
1/10/2014,4422.089844,237.43
2/10/2014,4430.200195,237.43
3/10/2014,4475.620117,237.43
4/10/2014,,237.43
5/10/2014,,237.43
6/10/2014,4454.799805,237.43
7/10/2014,4385.200195,237.43
8/10/2014,4468.589844,237.43
9/10/2014,4378.339844,237.43
10/10/2014,4276.240234,237.43
11/10/2014,,237.43
12/10/2014,,237.43
13/10/2014,4213.660156,237.43
14/10/2014,4227.169922,237.43
15/10/2014,4215.319824,237.43
16/10/2014,4217.390137,237.43
17/10/2014,4258.439941,237.43
18/10/2014,,237.43
19/10/2014,,237.43
20/10/2014,4316.069824,237.43
21/10/2014,4419.47998,237.43
22/10/2014,4382.850098,237.43
23/10/2014,4452.790039,237.43
24/10/2014,4483.720215,237.43
25/10/2014,,237.43
26/10/2014,,237.43
27/10/2014,4485.930176,237.43
28/10/2014,4564.290039,237.43
29/10/2014,4549.22998,237.43
30/10/2014,4566.140137,237.43
31/10/2014,4630.740234,237.43
1/11/2014,,236.983
2/11/2014,,236.983
3/11/2014,4638.910156,236.983
4/11/2014,4623.640137,236.983
5/11/2014,4620.720215,236.983
6/11/2014,4638.470215,236.983
7/11/2014,4632.529785,236.983
8/11/2014,,236.983
9/11/2014,,236.983
10/11/2014,4651.620117,236.983
11/11/2014,4660.560059,236.983
12/11/2014,4675.140137,236.983
13/11/2014,4680.140137,236.983
14/11/2014,4688.540039,236.983
15/11/2014,,236.983
16/11/2014,,236.983
17/11/2014,4671.0,236.983
18/11/2014,4702.439941,236.983
19/11/2014,4675.709961,236.983
20/11/2014,4701.870117,236.983
21/11/2014,4712.970215,236.983
22/11/2014,,236.983
23/11/2014,,236.983
24/11/2014,4754.890137,236.983
25/11/2014,4758.25,236.983
26/11/2014,4787.319824,236.983
27/11/2014,,236.983
28/11/2014,4791.629883,236.983
29/11/2014,,236.983
30/11/2014,,236.983
1/12/2014,4727.350098,236.252
2/12/2014,4755.810059,236.252
3/12/2014,4774.470215,236.252
4/12/2014,4769.439941,236.252
5/12/2014,4780.759766,236.252
6/12/2014,,236.252
7/12/2014,,236.252
8/12/2014,4740.689941,236.252
9/12/2014,4766.470215,236.252
10/12/2014,4684.02002,236.252
11/12/2014,4708.160156,236.252
12/12/2014,4653.600098,236.252
13/12/2014,,236.252
14/12/2014,,236.252
15/12/2014,4605.160156,236.252
16/12/2014,4547.830078,236.252
17/12/2014,4644.310059,236.252
18/12/2014,4748.399902,236.252
19/12/2014,4765.379883,236.252
20/12/2014,,236.252
21/12/2014,,236.252
22/12/2014,4781.419922,236.252
23/12/2014,4765.419922,236.252
24/12/2014,4773.470215,236.252
25/12/2014,,236.252
26/12/2014,4806.859863,236.252
27/12/2014,,236.252
28/12/2014,,236.252
29/12/2014,4806.910156,236.252
30/12/2014,4777.439941,236.252
31/12/2014,4736.049805,236.252
1/1/2015,,234.747
2/1/2015,4726.810059,234.747
3/1/2015,,234.747
4/1/2015,,234.747
5/1/2015,4652.569824,234.747
6/1/2015,4592.740234,234.747
7/1/2015,4650.470215,234.747
8/1/2015,4736.189941,234.747
9/1/2015,4704.069824,234.747
10/1/2015,,234.747
11/1/2015,,234.747
12/1/2015,4664.709961,234.747
13/1/2015,4661.5,234.747
14/1/2015,4639.319824,234.747
15/1/2015,4570.819824,234.747
16/1/2015,4634.379883,234.747
17/1/2015,,234.747
18/1/2015,,234.747
19/1/2015,,234.747
20/1/2015,4654.850098,234.747
21/1/2015,4667.419922,234.747
22/1/2015,4750.399902,234.747
23/1/2015,4757.879883,234.747
24/1/2015,,234.747
25/1/2015,,234.747
26/1/2015,4771.759766,234.747
27/1/2015,4681.5,234.747
28/1/2015,4637.990234,234.747
29/1/2015,4683.410156,234.747
30/1/2015,4635.240234,234.747
31/1/2015,,234.747
1/2/2015,,235.342
2/2/2015,4676.689941,235.342
3/2/2015,4727.740234,235.342
4/2/2015,4716.700195,235.342
5/2/2015,4765.100098,235.342
6/2/2015,4744.399902,235.342
7/2/2015,,235.342
8/2/2015,,235.342
9/2/2015,4726.009766,235.342
10/2/2015,4787.640137,235.342
11/2/2015,4801.180176,235.342
12/2/2015,4857.609863,235.342
13/2/2015,4893.839844,235.342
14/2/2015,,235.342
15/2/2015,,235.342
16/2/2015,,235.342
17/2/2015,4899.27002,235.342
18/2/2015,4906.359863,235.342
19/2/2015,4924.700195,235.342
20/2/2015,4955.970215,235.342
21/2/2015,,235.342
22/2/2015,,235.342
23/2/2015,4960.970215,235.342
24/2/2015,4968.120117,235.342
25/2/2015,4967.140137,235.342
26/2/2015,4987.890137,235.342
27/2/2015,4963.529785,235.342
28/2/2015,,235.342
1/3/2015,,235.976
2/3/2015,5008.100098,235.976
3/3/2015,4979.899902,235.976
4/3/2015,4967.140137,235.976
5/3/2015,4982.810059,235.976
6/3/2015,4927.370117,235.976
7/3/2015,,235.976
8/3/2015,,235.976
9/3/2015,4942.439941,235.976
10/3/2015,4859.790039,235.976
11/3/2015,4849.939941,235.976
12/3/2015,4893.290039,235.976
13/3/2015,4871.759766,235.976
14/3/2015,,235.976
15/3/2015,,235.976
16/3/2015,4929.509766,235.976
17/3/2015,4937.430176,235.976
18/3/2015,4982.830078,235.976
19/3/2015,4992.379883,235.976
20/3/2015,5026.419922,235.976
21/3/2015,,235.976
22/3/2015,,235.976
23/3/2015,5010.970215,235.976
24/3/2015,4994.72998,235.976
25/3/2015,4876.52002,235.976
26/3/2015,4863.359863,235.976
27/3/2015,4891.220215,235.976
28/3/2015,,235.976
29/3/2015,,235.976
30/3/2015,4947.439941,235.976
31/3/2015,4900.879883,235.976
1/4/2015,4880.22998,236.222
2/4/2015,4886.939941,236.222
3/4/2015,,236.222
4/4/2015,,236.222
5/4/2015,,236.222
6/4/2015,4917.319824,236.222
7/4/2015,4910.22998,236.222
8/4/2015,4950.819824,236.222
9/4/2015,4974.560059,236.222
10/4/2015,4995.97998,236.222
11/4/2015,,236.222
12/4/2015,,236.222
13/4/2015,4988.25,236.222
14/4/2015,4977.290039,236.222
15/4/2015,5011.02002,236.222
16/4/2015,5007.790039,236.222
17/4/2015,4931.810059,236.222
18/4/2015,,236.222
19/4/2015,,236.222
20/4/2015,4994.600098,236.222
21/4/2015,5014.100098,236.222
22/4/2015,5035.169922,236.222
23/4/2015,5056.060059,236.222
24/4/2015,5092.080078,236.222
25/4/2015,,236.222
26/4/2015,,236.222
27/4/2015,5060.25,236.222
28/4/2015,5055.419922,236.222
29/4/2015,5023.640137,236.222
30/4/2015,4941.419922,236.222
1/5/2015,5005.390137,237.001
2/5/2015,,237.001
3/5/2015,,237.001
4/5/2015,5016.930176,237.001
5/5/2015,4939.330078,237.001
6/5/2015,4919.640137,237.001
7/5/2015,4945.540039,237.001
8/5/2015,5003.549805,237.001
9/5/2015,,237.001
10/5/2015,,237.001
11/5/2015,4993.569824,237.001
12/5/2015,4976.189941,237.001
13/5/2015,4981.689941,237.001
14/5/2015,5050.799805,237.001
